Treatment,Inject,Accuracy,F1 Minority,EOD,AOD
None,0.0,0.85 (0.05),0.83 (0.04),-0.01 (0.17),-0.08 (0.10)
FairBalance,0.0,0.83 (0.02),0.82 (0.04),-0.03 (0.18),-0.00 (0.13)
FairBalance,0.1,0.80 (0.06),0.78 (0.06),0.03 (0.18),0.04 (0.11)
FairBalance,0.2,0.79 (0.06),0.77 (0.06),0.11 (0.10),0.13 (0.09)
FairBalance,0.3,0.78 (0.06),0.77 (0.05),0.17 (0.09),0.20 (0.11)
FairBalance,0.4,0.76 (0.05),0.76 (0.05),0.26 (0.15),0.29 (0.11)
FairBalance,-0.1,0.83 (0.04),0.81 (0.05),-0.12 (0.12),-0.11 (0.14)
FairBalance,-0.2,0.83 (0.03),0.81 (0.05),-0.14 (0.19),-0.13 (0.12)
FairBalance,-0.3,0.82 (0.05),0.79 (0.05),-0.18 (0.29),-0.19 (0.19)
FairBalance,-0.4,0.80 (0.05),0.76 (0.08),-0.33 (0.15),-0.29 (0.17)
