Treatment,Inject,Accuracy,F1 Minority,EOD,AOD
None,0,90 (89),45 (46),-13 (-8),-8 (-7)
FairBalance,0,84 (84),55 (55),8 (10),0 (2)
FairBalance,10,83 (83),54 (54),13 (16),6 (8)
FairBalance,20,78 (78),49 (49),21 (24),14 (16)
FairBalance,30,71 (71),43 (43),32 (34),26 (27)
FairBalance,40,64 (64),38 (38),38 (44),35 (38)
FairBalance,-10,86 (85),56 (56),1 (4),-5 (-4)
FairBalance,-20,87 (86),57 (57),-9 (-7),-13 (-12)
FairBalance,-30,88 (87),58 (58),-20 (-18),-23 (-21)
FairBalance,-40,89 (88),58 (57),-31 (-30),-33 (-32)
