Treatment,Inject,Accuracy,F1 Minority,EOD,AOD
None,0.0,0.67 (0.01),0.60 (0.01),-0.17 (0.02),-0.24 (0.02)
FairBalance,0.0,0.65 (0.01),0.62 (0.02),0.02 (0.05),0.00 (0.03)
FairBalance,0.1,0.66 (0.01),0.63 (0.02),0.07 (0.04),0.05 (0.04)
FairBalance,0.2,0.66 (0.01),0.62 (0.01),0.12 (0.04),0.09 (0.05)
FairBalance,0.3,0.66 (0.01),0.61 (0.02),0.17 (0.03),0.16 (0.05)
FairBalance,0.4,0.65 (0.01),0.59 (0.02),0.27 (0.05),0.25 (0.03)
FairBalance,-0.1,0.67 (0.01),0.64 (0.01),-0.03 (0.05),-0.05 (0.04)
FairBalance,-0.2,0.66 (0.01),0.64 (0.01),-0.11 (0.04),-0.12 (0.03)
FairBalance,-0.3,0.65 (0.01),0.64 (0.01),-0.16 (0.03),-0.20 (0.02)
FairBalance,-0.4,0.65 (0.01),0.66 (0.01),-0.24 (0.04),-0.27 (0.02)
