Treatment,Inject,Accuracy,F1 Minority,EOD,AOD
None,0.0,0.85 (0.00),0.66 (0.01),0.08 (0.04),0.06 (0.02)
FairBalance,0.0,0.81 (0.00),0.68 (0.01),-0.02 (0.04),0.01 (0.02)
FairBalance,0.1,0.81 (0.00),0.68 (0.01),0.06 (0.03),0.08 (0.01)
FairBalance,0.2,0.79 (0.00),0.67 (0.01),0.16 (0.03),0.17 (0.02)
FairBalance,0.3,0.76 (0.01),0.65 (0.01),0.27 (0.05),0.26 (0.03)
FairBalance,0.4,0.71 (0.01),0.61 (0.00),0.36 (0.03),0.36 (0.02)
FairBalance,-0.1,0.83 (0.00),0.69 (0.01),-0.12 (0.03),-0.08 (0.02)
FairBalance,-0.2,0.83 (0.00),0.67 (0.01),-0.20 (0.02),-0.16 (0.02)
FairBalance,-0.3,0.83 (0.00),0.65 (0.01),-0.30 (0.03),-0.26 (0.02)
FairBalance,-0.4,0.82 (0.00),0.62 (0.01),-0.39 (0.03),-0.35 (0.02)
